NASDAQ (NQ),S&P (ES),Russell 2000 (RTY),Dow Mini (YM),German Index (FDAX),Nikkei 225 (NK),Ten yr note (TY),30 yr bond (US),Comex Gold (GC),Silver (SI),Copper (HG),Crude Oil (CL),Natural Gas (NG),Corn (C),Soybean (S),Euro (EC),Yen (JY),Aussie (AD),Platinum (PL),British Pound (6B),Wheat (ZW),Micro Nasdaq (MNQ),Micro S&P (MES),Micro Russell (M2K),Micro DOW (MYM),Micro Gold (MGC),Micro Euro (M6E),EURUSD,USDJPY,GBPUSD,AUDUSD,USDCAD,EURJPY,USDCHF,AUDJPY,EURAUD,GBPNZD,NASDAQ (QQQ),S&P (SPY),Russell 2000 (IWM),20 Year Bond (TLT),Gold (GLD),Energy (XLE),Financial (XLF),Healthcare (XLV),Dow Jones 30 (DIA),Real Estate (IYR),Technology (XLK),Consumer Discretionary (XLY),Comm Services (XLC),Industrial (XLI),Materials (XLB)
14064.00,-,2342.20,-,-,-,134'200,166'14,1817.60,-,-,-,-,-,-,-,0.0096910,-,1282.7,-,-,14064.00,-,2342.10,-,1817.30,1.2271,1.2886,113.71,1.5239,0.8135,1.3170,135.83,0.9803,89.07,1.6420,2.0714,-,-,-,160.53,179.92,61.31,-,-,-,100.75,-,-,-,ERROR,ERROR
13953.50,-,2317.60,-,-,-,134'075,165'02,1800.80,-,-,-,-,-,-,-,0.0096490,-,1262.0,-,-,13953.50,-,2317.30,-,1800.80,1.2193,1.2697,113.20,1.5138,0.8037,1.3069,134.91,0.9712,88.06,1.6304,2.0525,-,-,-,159.76,178.84,58.98,-,-,-,98.43,-,-,-,ERROR,ERROR
13777.50,4202.50,-,-,-,-,133'060,162'28,-,27.665,-,-,-,-,-,1.22195,0.0094550,-,-,1.3979,769.50,13777.50,4202.50,-,-,-,-,1.2350,110.97,1.3977,0.8008,1.2536,133.33,0.9269,86.73,1.5936,2.0131,-,-,234.53,154.50,175.16,53.06,-,-,-,-,-,-,79.22,ERROR,ERROR
13726.00,4195.00,-,-,-,-,133'015,162'15,-,27.415,-,-,-,-,-,1.21830,0.0094220,-,-,1.3946,752.75,13726.00,4192.00,-,-,-,-,1.2310,110.55,1.3942,0.7973,1.2467,132.45,0.9222,86.47,1.5816,2.0028,-,-,233.09,153.16,174.24,52.36,-,-,-,-,-,-,78.99,ERROR,ERROR
13696.50,4184.25,2271.90,-,15348.00,29740,-,-,1795.30,27.000,-,-,-,-,-,1.20775,0.0092250,0.78250,1273.9,1.3948,-,13696.50,4184.25,2272.20,-,1795.30,1.2102,1.2068,110.56,1.3947,0.7784,1.2418,131.65,0.9216,84.72,1.5563,1.9605,336.90,418.35,227.15,140.51,168.55,-,-,-,-,-,141.89,178.65,77.91,ERROR,ERROR
13667.25,4179.50,2267.90,-,15325.00,29700,-,-,1792.00,26.945,-,-,-,-,-,1.20625,0.0092200,0.78145,1263.5,1.3935,-,13667.25,4179.50,2267.90,-,1792.10,1.2091,1.2053,110.46,1.3934,0.7774,1.2403,131.57,0.9205,84.60,1.5548,1.9588,335.76,417.67,226.66,140.15,168.13,-,-,-,-,-,141.47,178.28,77.65,ERROR,ERROR
-,-,-,-,-,29055,132'000,157'03,-,-,4.3590,64.53,2.843,649.25,1512.75,1.19695,0.0090575,0.76510,1216.9,1.3758,-,-,-,-,-,-,-,1.1959,108.59,1.3757,0.7650,-,130.36,0.9006,84.65,1.5358,1.9169,324.20,-,220.20,137.54,165.06,49.47,36.45,121.43,338.91,-,-,172.23,-,ERROR,ERROR
-,-,-,-,-,28985,131'285,156'25,-,-,4.3445,64.29,2.830,639.00,1503.25,1.19560,0.0090505,0.76365,1212.1,1.3746,-,-,-,-,-,-,-,1.1942,108.43,1.3744,0.7634,-,130.21,0.8994,84.55,1.5336,1.9153,323.62,-,219.40,137.13,164.47,49.28,36.35,121.11,338.29,-,-,171.80,-,ERROR,ERROR
13122.25,4069.50,2110.90,33063,14836.00,27730,131'175,156'08,1749.50,24.925,4.3450,60.65,2.809,626.50,1435.00,1.19115,0.0090515,0.76100,-,1.3758,-,13122.25,4069.75,2111.00,33060,1749.50,1.1982,1.1902,105.27,1.3769,0.7296,-,129.97,0.8964,83.38,1.5163,1.9163,314.40,395.12,214.70,135.65,162.30,47.75,34.87,118.90,325.43,94.08,135.49,169.70,75.69,96.18,80.30
13070.25,4056.50,2092.70,33017,14704.00,27490,131'120,155'25,1744.50,24.725,4.3075,60.07,2.774,619.25,1423.50,1.18760,0.0090180,0.75865,-,1.3718,-,13070.00,4054.50,2092.70,33018,1744.50,1.1956,1.1860,104.92,1.3717,0.7255,-,129.60,0.8934,83.08,1.5079,1.9113,311.54,393.02,213.14,134.98,161.81,46.87,34.68,118.34,323.98,93.38,134.69,168.85,75.29,95.64,79.78
12975.75,3563.75,1972.50,31785,14084.00,-,-,-,1746.40,-,4.3000,52.41,2.695,586.50,1394.25,1.13845,-,-,1135.5,-,661.25,12974.75,3562.00,1978.00,31750,1746.10,1.1742,1.1646,100.67,1.3059,0.7060,1.2192,122.75,0.8851,75.98,1.5062,1.8430,273.52,389.70,155.79,132.10,150.08,40.99,31.50,115.25,303.35,83.64,132.27,157.45,73.33,87.69,72.61
12776.50,3528.75,1916.80,31613,13890.00,-,-,-,1732.30,-,4.2525,50.96,2.659,571.50,1374.75,1.12830,-,-,1115.2,-,641.00,12776.75,3530.00,1924.70,31607,1732.40,1.1721,1.1581,100.07,1.2859,0.6991,1.2061,121.61,0.8757,75.40,1.4895,1.8277,266.97,383.90,151.39,130.51,147.85,38.94,30.99,113.35,298.59,81.46,127.72,149.65,71.02,84.51,70.32
