Date: Mar 13, 2021

MARKET																																																			
NASDAQ (NQ)	S&P (ES)	Russell 2000 (RTY)	Dow Mini (YM)	German Index (FDAX)	Nikkei 225 (NK)	Ten yr note (TY)	30 yr bond (US)	Comex Gold (GC)	Silver (SI)	Copper (HG)	Crude Oil (CL)	Natural Gas (NG)	Corn (C)	Soybean (S)	Euro (EC)	Yen (JY)	Aussie (AD)	Platinum (PL)	British Pound (6B)	Wheat (ZW)	Micro Nasdaq (MNQ)	Micro S&P (MES)	Micro Russell (M2K)	Micro DOW (MYM)	Micro Gold (MGC)	Micro Euro (M6E)	US Dollar (DXY)	EURUSD	USDJPY	GBPUSD	AUDUSD	USDCAD	EURJPY	USDCHF	AUDJPY	EURAUD	GBPNZD	NASDAQ (QQQ)	S&P (SPY)	Russell 2000 (IWM)	20 Year Bond (TLT)	Gold (GLD)	Energy (XLE)	Financial (XLF)	Healthcare (XLV)	Dow Jones 30 (DIA)	Real Estate (IYR)	Technology (XLK)	Consumer Discretionary (XLY)	Comm Services (XLC)
SUPPLY ZONES
13888.00	0	0	0	0	0	136'000	166'14	1815.20	0	0	0	0	0	0	0	0.9691000	0	1278.9	0	0	13889.00	0	0	0	1815.30	0	96.4000	1.2770	109.85	1.4379	0.8135	1.3170	135.83	0.9468	89.07	1.8126	1.9624	0	0	0	160.53	179.92	61.31	0	0	0	100.75	0	0	0
13756.00	0	0	0	0	0	135'240	165'02	1797.90	0	0	0	0	0	0	0	0.9645000	0	1251.5	0	0	13756.00	0	0	0	1797.90	0	95.9000	1.2683	109.38	1.4281	0.8037	1.3069	134.91	0.9390	88.06	1.7903	1.9470	0	0	0	159.76	178.84	58.98	0	0	0	98.43	0	0	0
13615.50	0	0	0	0	0	134'075	162'28	1768.50	28.940	4.3755	67.98	2.826	572.00	0	1.21395	0.9457000	0	0	0	0	13616.50	0	0	0	1768.50	0	93.2100	1.2081	0	0	0	1.2882	133.33	0.9411	85.60	1.5897	0	338.19	0	0	154.50	167.12	0	0	118.99	0	94.31	0	171.38	0
13550.00	0	0	0	0	0	134'015	162'15	1757.50	28.480	4.3155	67.15	2.797	565.00	0	1.20725	0.9422000	0	0	0	0	13542.00	0	0	0	1757.40	0	92.8700	1.2000	0	0	0	1.2794	132.45	0.9381	85.35	1.5772	0	335.14	0	0	153.16	166.18	0	0	117.93	0	93.14	0	170.10	0
12929.00	3930.25	0	0	0	0	133'060	158'31	1735.50	26.375	4.2070	0	2.734	0	0	1.20795	0.9374500	0.78410	0	1.4183	0	12929.50	3930.25	0	0	1735.50	0	0	1.2054	109.59	1.4182	0.7963	1.2626	131.25	0	85.60	1.5462	1.9505	321.49	0	0	140.15	0	0	0	0	0	90.85	133.98	0	0
12905.25	3926.75	0	0	0	0	133'015	158'15	1731.30	26.290	4.1925	0	2.715	0	0	1.20700	0.9363500	0.78310	0	1.4159	0	12907.00	3926.75	0	0	1731.40	0	0	1.2038	109.48	1.4158	0.7952	1.2605	130.99	0	85.51	1.5454	1.9478	319.46	0	0	139.78	0	0	0	0	0	90.45	133.42	0	0
CURRENT PRICE

DEMAND ZONES
12607.00	3866.50	0	0	14405.00	0	0	0	0	0	4.0485	62.60	2.635	0	0	1.19210	0	0.76975	1172.8	1.3843	0	12610.00	3866.25	0	0	0	0	91.2100	1.1896	107.07	1.3899	0.7695	1.2414	129.36	0.9194	83.87	1.5179	1.9245	308.52	386.39	229.71	0	157.47	50.84	33.77	111.80	317.51	87.95	129.27	160.20	72.03
12571.00	3860.25	0	0	14390.00	0	0	0	0	0	4.0405	61.72	2.618	0	0	1.19065	0	0.76855	1164.3	1.3833	0	12566.75	3860.25	0	0	0	0	91.0200	1.1886	106.96	1.3879	0.7681	1.2396	129.19	0.9179	83.65	1.5155	1.9220	306.92	385.31	228.79	0	157.13	50.45	33.52	111.49	316.18	87.66	128.60	159.31	71.59
0	3863.25	2245.90	31727	13989.00	27730	0	0	1681.50	25.245	0	57.91	0	515.75	0	0	0	0.74425	1166.3	1.3726	0	0	3863.50	2247.10	31697	1681.50	0	90.3800	1.1784	105.27	1.3682	0.7625	1.2279	126.76	0.8964	81.44	1.5156	1.8722	285.33	358.37	208.17	0	0	44.67	31.53	110.09	302.40	82.27	124.01	0	67.53
0	3847.00	2231.40	31613	13860.00	27490	0	0	1673.30	24.970	0	57.31	0	510.50	0	0	0	0.74180	1155.2	1.3663	0	0	3847.00	2232.00	31607	1673.00	0	90.1300	1.1745	104.92	1.3651	0.7583	1.2245	126.43	0.8934	81.08	1.5079	1.8628	280.62	354.87	204.84	0	0	43.96	31.36	109.37	298.59	81.46	122.90	0	66.44
0	3563.75	2197.20	31785	13440.00	0	0	0	0	24.215	3.8415	52.84	2.562	514.25	1272.50	1.17760	0	0	1114.5	0	619.25	0	3562.00	2197.20	31750	0	0	84.7700	1.1646	100.67	1.3059	0.7060	1.2192	122.75	0.8851	75.98	1.5156	1.8430	273.52	332.36	155.79	137.44	150.08	38.66	29.37	102.16	269.20	55.77	112.62	145.35	65.82
0	3528.75	2157.30	31613	13298.00	0	0	0	0	23.770	3.7255	51.38	2.475	494.50	1239.50	1.16930	0	0	1084.8	0	608.00	0	3530.00	2158.00	31607	0	0	83.5600	1.1540	100.07	1.2859	0.6991	1.2061	121.61	0.8757	75.40	1.4895	1.8277	266.97	322.60	151.39	135.91	147.85	37.02	28.82	100.31	261.41	53.66	109.57	141.74	64.79
